Name,Contract
SubVaultFactory,0xe1299c378f56903248f0357597d57d48d2d67a6c
.nil Root Vault,0xAc2a8CFcB7E01Ed80585235b3a994E51aa268a4C
ninja.goat,0xa4Dd5A03D447fE8063276127aF3272328B8Da632
legend.goat,0x1AFBF71829f28da20F36bAb1d17F3C22D12FacA3
donk.goat,0xFB9e1983EF6d9F867f26feA76632B831E85D9a0f
sho.goat,0x4F6AeAcEd9025f7b67317cebaaF1A3C08C726184
rob.goat,0xfEF31B3C8Cb1E58207b2A92E4bFDEa3e4fD2dEB1
.swift Vault,0x1a17307db1c50f2517fc981e14ce56f00363f02a
MineralVault,0xe7f1725E7734CE288F8367e1Bb143E90bb3F0512
TroptionsVaultNFT,0x1C77Ed0dE393bb82d09a08afE4F2aAa237353fa0
